"gene","locus_tag","product","combined"
"p:gcvH-L","NWMN_0317","conserved hypothetical protein","p:gcvH-L: conserved hypothetical protein"
"0318","NWMN_0318","conserved hypothetical protein","0318: conserved hypothetical protein"
"p:sirTM","NWMN_0319","conserved hypothetical protein","p:sirTM: conserved hypothetical protein"
"p:lplA2","NWMN_0320","lipoate-protein ligase A family protein","p:lplA2: lipoate-protein ligase A family protein"
"0321","NWMN_0321","oxidoreductase family protein","0321: oxidoreductase family protein"
"ulaA","NWMN_0322","ascorbate-specific PTS system enzyme IIC","ulaA: ascorbate-specific PTS system enzyme IIC"
"0323","NWMN_0323","conserved hypothetical protein","0323: conserved hypothetical protein"
"0324","NWMN_0324","conserved hypothetical protein","0324: conserved hypothetical protein"
"0325","NWMN_0325","conserved hypothetical protein","0325: conserved hypothetical protein"
"p:mepR","NWMN_0326","MarR family regulatory protein","p:mepR: MarR family regulatory protein"
"p:mepA","NWMN_0327","MATE efflux family protein","p:mepA: MATE efflux family protein"
"p:mepB","NWMN_0328","conserved hypothetical protein","p:mepB: conserved hypothetical protein"
"p:glpT","NWMN_0329","glycerol-3-phosphate transporter","p:glpT: glycerol-3-phosphate transporter"
"0330","NWMN_0330","glyoxalase family protein","0330: glyoxalase family protein"
"0331","NWMN_0331","luciferase-like monooxygenase","0331: luciferase-like monooxygenase"
"0332","NWMN_0332","NADH-dependent FMN reductase","0332: NADH-dependent FMN reductase"
"0333","NWMN_0333","conserved hypothetical protein","0333: conserved hypothetical protein"
"0334","NWMN_0334","conserved hypothetical protein","0334: conserved hypothetical protein"
"0335","NWMN_0335","conserved hypothetical protein","0335: conserved hypothetical protein"
"p:fepA","NWMN_0336","conserved hypothetical protein","p:fepA: conserved hypothetical protein"
"p:fepB","NWMN_0337","conserved hypothetical protein","p:fepB: conserved hypothetical protein"
"p:fepC","NWMN_0338","conserved hypothetical protein","p:fepC: conserved hypothetical protein"
"p:tatC","NWMN_0339","conserved hypothetical protein","p:tatC: conserved hypothetical protein"
"tatA","NWMN_0340","twin-arginine translocation protein TatA","tatA: twin-arginine translocation protein TatA"
"0341","NWMN_0341","conserved hypothetical protein","0341: conserved hypothetical protein"
"0342","NWMN_0342","conserved hypothetical protein","0342: conserved hypothetical protein"
"0343","NWMN_0343","ABC transporter%2C ATP-binding protein","0343: ABC transporter%2C ATP-binding protein"
"0344","NWMN_0344","conserved hypothetical protein","0344: conserved hypothetical protein"
"0345","NWMN_0345","conserved hypothetical protein","0345: conserved hypothetical protein"
"0346","NWMN_0346","acetyl-CoA acetyltransferase","0346: acetyl-CoA acetyltransferase"
"p:mdh","NWMN_0347","conserved hypothetical protein","p:mdh: conserved hypothetical protein"
"metE","NWMN_0348","5-methyltetrahydropteroyltriglutamate-homocystein e S-methyltransferase","metE: 5-methyltetrahydropteroyltriglutamate-homocystein e S-methyltransferase"
"metH","NWMN_0349","5-methyltetrahydrofolate-homocysteine methyltransferase","metH: 5-methyltetrahydrofolate-homocysteine methyltransferase"
"p:metC","NWMN_0350","trans-sulfuration enzyme family protein","p:metC: trans-sulfuration enzyme family protein"
"p:metI","NWMN_0351","Cys/Met metabolism PLP-dependent enzyme","p:metI: Cys/Met metabolism PLP-dependent enzyme"
"0352","NWMN_0352","conserved hypothetical protein","0352: conserved hypothetical protein"
"p:parB","NWMN_0353","chromosome partioning ParB family protein","p:parB: chromosome partioning ParB family protein"
"0354","NWMN_0354","conserved hypothetical protein","0354: conserved hypothetical protein"
"p:ychF","NWMN_0355","conserved hypothetical protein","p:ychF: conserved hypothetical protein"
"0356","NWMN_0356","conserved hypothetical protein","0356: conserved hypothetical protein"
"rpsF","NWMN_0357","30S ribosomal protein S6","rpsF: 30S ribosomal protein S6"
"p:ssb.1","NWMN_0358","single-strand DNA-binding family protein","p:ssb.1: single-strand DNA-binding family protein"
"rpsR","NWMN_0359","30S ribosomal protein S18","rpsR: 30S ribosomal protein S18"
"0360","NWMN_0360","conserved hypothetical protein","0360: conserved hypothetical protein"
"0361","NWMN_0361","conserved hypothetical protein","0361: conserved hypothetical protein"
"p:selX","NWMN_0362","conserved hypothetical protein","p:selX: conserved hypothetical protein"
"0363","NWMN_0363","conserved hypothetical protein","0363: conserved hypothetical protein"
"0364","NWMN_0364","conserved hypothetical protein","0364: conserved hypothetical protein"
"0365","NWMN_0365","conserved hypothetical protein","0365: conserved hypothetical protein"
"0366","NWMN_0366","conserved hypothetical protein","0366: conserved hypothetical protein"
"0367","NWMN_0367","phosphoglycerate mutase family protein","0367: phosphoglycerate mutase family protein"
"0368","NWMN_0368","conserved hypothetical protein","0368: conserved hypothetical protein"
"0369","NWMN_0369","conserved hypothetical protein","0369: conserved hypothetical protein"
"0370","NWMN_0370","conserved hypothetical protein","0370: conserved hypothetical protein"
"ahpF","NWMN_0371","alkyl hydroperoxide reductase subunit F","ahpF: alkyl hydroperoxide reductase subunit F"
"ahpC","NWMN_0372","alkyl hydroperoxide reductase subunit C","ahpC: alkyl hydroperoxide reductase subunit C"
"p:nfrA","NWMN_0373","nitroreductase family protein","p:nfrA: nitroreductase family protein"
"p:tcyP","NWMN_0374","sodium:dicarboxylate symporter family protein","p:tcyP: sodium:dicarboxylate symporter family protein"
"0375","NWMN_0375","conserved hypothetical protein","0375: conserved hypothetical protein"
"0376","NWMN_0376","conserved hypothetical protein","0376: conserved hypothetical protein"
"0377","NWMN_0377","conserved hypothetical protein","0377: conserved hypothetical protein"
"p:xpt","NWMN_0378","xanthine phosphoribosyltransferase","p:xpt: xanthine phosphoribosyltransferase"
"pbuX","NWMN_0379","xanthine/uracil permease","pbuX: xanthine/uracil permease"
"guaB","NWMN_0380","inosine-5'-monophosphate dehydrogenase","guaB: inosine-5'-monophosphate dehydrogenase"
"guaA","NWMN_0381","glutamine-hydrolyzing GMP synthase","guaA: glutamine-hydrolyzing GMP synthase"
"0382","NWMN_0382","conserved hypothetical protein","0382: conserved hypothetical protein"
"0383","NWMN_0383","conserved hypothetical protein","0383: conserved hypothetical protein"
"tnp.1","NWMN_0384","transposase","tnp.1: transposase"
"0385","NWMN_0385","conserved hypothetical protein","0385: conserved hypothetical protein"
"0386","NWMN_0386","conserved hypothetical protein","0386: conserved hypothetical protein"
"0387","NWMN_0387","conserved hypothetical protein","0387: conserved hypothetical protein"
"ssl1nm","NWMN_0388","staphylococcal enterotoxin-like toxin","ssl1nm: staphylococcal enterotoxin-like toxin"
"ssl2nm","NWMN_0389","staphylococcal enterotoxin-like toxin","ssl2nm: staphylococcal enterotoxin-like toxin"
"ssl3nm","NWMN_0390","staphylococcal enterotoxin-like toxin","ssl3nm: staphylococcal enterotoxin-like toxin"
"ssl4nm","NWMN_0391","staphylococcal enterotoxin-like toxin","ssl4nm: staphylococcal enterotoxin-like toxin"
"ssl5nm","NWMN_0392","staphylococcal enterotoxin-like toxin","ssl5nm: staphylococcal enterotoxin-like toxin"
"ssl6nm","NWMN_0393","staphylococcal enterotoxin-like toxin","ssl6nm: staphylococcal enterotoxin-like toxin"
"ssl7nm","NWMN_0394","staphylococcal enterotoxin-like toxin","ssl7nm: staphylococcal enterotoxin-like toxin"
"ssl8nm","NWMN_0395","staphylococcal enterotoxin-like toxin","ssl8nm: staphylococcal enterotoxin-like toxin"
"ssl9nm","NWMN_0396","staphylococcal enterotoxin-like toxin","ssl9nm: staphylococcal enterotoxin-like toxin"
"ssl10","NWMN_0397","staphylococcal enterotoxin-like toxin","ssl10: staphylococcal enterotoxin-like toxin"
"hsdM.1","NWMN_0398","type I restriction-modification system%2C methyltransferase subunit","hsdM.1: type I restriction-modification system%2C methyltransferase subunit"
"hsdS.1","NWMN_0399","type I restriction modification system%2C site specificity determination subunit","hsdS.1: type I restriction modification system%2C site specificity determination subunit"
"ssl11nm","NWMN_0400","staphylococcal enterotoxin-like toxin","ssl11nm: staphylococcal enterotoxin-like toxin"
"0401","NWMN_0401","conserved hypothetical protein","0401: conserved hypothetical protein"
"s:spn","NWMN_0402","conserved hypothetical protein","s:spn: conserved hypothetical protein"
"lpl1nm","NWMN_0403","staphylococcal tandem lipoprotein","lpl1nm: staphylococcal tandem lipoprotein"
"lpl2nm","NWMN_0404","staphylococcal tandem lipoprotein","lpl2nm: staphylococcal tandem lipoprotein"
"0405","NWMN_0405","truncated staphylococcal tandem lipoprotein","0405: truncated staphylococcal tandem lipoprotein"
"lpl3nm","NWMN_0406","staphylococcal tandem lipoprotein","lpl3nm: staphylococcal tandem lipoprotein"
"lpl4nm","NWMN_0407","staphylococcal tandem lipoprotein","lpl4nm: staphylococcal tandem lipoprotein"
"lpl5nm","NWMN_0408","staphylococcal tandem lipoprotein","lpl5nm: staphylococcal tandem lipoprotein"
"lpl6nm","NWMN_0409","staphylococcal tandem lipoprotein","lpl6nm: staphylococcal tandem lipoprotein"
"lpl7nm","NWMN_0410","staphylococcal tandem lipoprotein","lpl7nm: staphylococcal tandem lipoprotein"
"lpl8nm","NWMN_0411","staphylococcal tandem lipoprotein","lpl8nm: staphylococcal tandem lipoprotein"
"lpl9nm","NWMN_0412","staphylococcal tandem lipoprotein","lpl9nm: staphylococcal tandem lipoprotein"
"0413","NWMN_0413","conserved hypothetical protein","0413: conserved hypothetical protein"
"0414","NWMN_0414","conserved hypothetical protein","0414: conserved hypothetical protein"
"0415","NWMN_0415","conserved hypothetical protein","0415: conserved hypothetical protein"
"0416","NWMN_0416","conserved hypothetical protein","0416: conserved hypothetical protein"
"cobW","NWMN_0417","cobalamin synthesis protein","cobW: cobalamin synthesis protein"
"psmα4","NWMN_0417.1",NA,"psmα4: NA"
"psmα3","NWMN_0417.2",NA,"psmα3: NA"
"psmα2","NWMN_0417.3",NA,"psmα2: NA"
"psmα1","NWMN_0417.4",NA,"psmα1: NA"
"ndhF","NWMN_0418","NADH dehydrogenase subunit 5","ndhF: NADH dehydrogenase subunit 5"
"p:mpsB","NWMN_0419","conserved hypothetical protein","p:mpsB: conserved hypothetical protein"
"p:mpsC","NWMN_0420","conserved hypothetical protein","p:mpsC: conserved hypothetical protein"
"0421","NWMN_0421","conserved hypothetical protein","0421: conserved hypothetical protein"
"0422","NWMN_0422","conserved hypothetical protein","0422: conserved hypothetical protein"
"0423","NWMN_0423","sodium-dependent symporter protein","0423: sodium-dependent symporter protein"
"cysM","NWMN_0424","cysteine synthase","cysM: cysteine synthase"
"metB","NWMN_0425","cystathionine gamma-synthase","metB: cystathionine gamma-synthase"
"p:metN2","NWMN_0426","ABC transporter%2C ATP-binding protein","p:metN2: ABC transporter%2C ATP-binding protein"
"p:metP2","NWMN_0427","ABC transporter%2C permease protein","p:metP2: ABC transporter%2C permease protein"
"p:metQ2","NWMN_0428","ABC transporter%2C substrate-binding protein","p:metQ2: ABC transporter%2C substrate-binding protein"
"p:sle1","NWMN_0429","N-acetylmuramoyl-L-alanine amidase aaa precursor","p:sle1: N-acetylmuramoyl-L-alanine amidase aaa precursor"
"0430","NWMN_0430","conserved hypothetical protein","0430: conserved hypothetical protein"
"0431","NWMN_0431","MutT domain containing protein","0431: MutT domain containing protein"
"0432","NWMN_0432","conserved hypothetical protein","0432: conserved hypothetical protein"
"0433","NWMN_0433","conserved hypothetical protein","0433: conserved hypothetical protein"
"0434","NWMN_0434","conserved hypothetical protein","0434: conserved hypothetical protein"
"gltC","NWMN_0435","transcription activator of glutamate synthase operon","gltC: transcription activator of glutamate synthase operon"
"gltB","NWMN_0436","glutamate synthase%2C large subunit","gltB: glutamate synthase%2C large subunit"
"gltD","NWMN_0437","glutamate synthase%2C small subunit","gltD: glutamate synthase%2C small subunit"
"treP","NWMN_0438","PTS system%2C trehalose-specific IIBC component","treP: PTS system%2C trehalose-specific IIBC component"
"treC","NWMN_0439","alpha%2Calpha-phosphotrehalase","treC: alpha%2Calpha-phosphotrehalase"
"treR","NWMN_0440","trehalose operon repressor","treR: trehalose operon repressor"
"0441","NWMN_0441","acetyltransferase%2C GNAT family protein","0441: acetyltransferase%2C GNAT family protein"
"dnaX","NWMN_0442","DNA polymerase III gamma subunit","dnaX: DNA polymerase III gamma subunit"
"0443","NWMN_0443","conserved hypothetical protein","0443: conserved hypothetical protein"
"recR","NWMN_0444","recombination protein RecR","recR: recombination protein RecR"
"tmk","NWMN_0445","conserved hypothetical protein","tmk: conserved hypothetical protein"
"tmk.2","NWMN_0446","thymidylate kinase","tmk.2: thymidylate kinase"
"p:darA","NWMN_0447","conserved hypothetical protein","p:darA: conserved hypothetical protein"
"holB","NWMN_0448","DNA polymerase III delta subunit","holB: DNA polymerase III delta subunit"
"p:ricT","NWMN_0449","conserved hypothetical protein","p:ricT: conserved hypothetical protein"
"s:yabA","NWMN_0450","initiation-control protein","s:yabA: initiation-control protein"
"0451","NWMN_0451","conserved hypothetical protein","0451: conserved hypothetical protein"
"p:rsmI","NWMN_0452","conserved hypothetical protein","p:rsmI: conserved hypothetical protein"
"metS","NWMN_0453","methionyl-tRNA synthetase","metS: methionyl-tRNA synthetase"
"0454","NWMN_0454","TatD related DNase","0454: TatD related DNase"
"p:rnmV","NWMN_0455","conserved hypothetical protein","p:rnmV: conserved hypothetical protein"
"ksgA","NWMN_0456","dimethyladenosine transferase","ksgA: dimethyladenosine transferase"
"veg","NWMN_0457","Veg protein","veg: Veg protein"
"ipk","NWMN_0458","conserved hypothetical protein","ipk: conserved hypothetical protein"
"purR","NWMN_0459","pur operon repressor","purR: pur operon repressor"
"p:yabJ","NWMN_0460","conserved hypothetical protein","p:yabJ: conserved hypothetical protein"
